"FieldName","Description"
"isPGT","Indicates if it's related to Preimplantation Genetic Testing (PGT)."
"orderby","Person responsible for the order."
"isDrawPending","Indicates if a blood draw is pending."
"EmrIvfSemenAnalysisKey","Key associated with EMR IVF semen analysis."
"isBloodDrawn","Indicates if blood has been drawn."
"AppointmentKey","Key associated with appointments."
"Barcode","Barcode associated with the order."
"EmrPlanKey","Key linking to EMR plan data."
"PGTOriginalEmrLabOrderKey","Key associated with the original EMR lab order for PGT."
"comments","Additional comments or notes."
"isElectronic","Indicates if the order is electronic."
"PatientKey","identifier for the patient."
"OrderSentDate","Date when the order was sent."
"CollectionBy","Person responsible for the collection."
"OrderDocumentKey","Key associated with the order document."
"loinc","LOINC (Logical Observation Identifiers Names and Codes) code."
"PGTOrderStatus","Status of the PGT order."
"BloodAnalyzerName","Name of the blood analyzer."
"BloodAnalyzerProtocol","Protocol associated with the blood analyzer."
"PGTType","Type of Preimplantation Genetic Testing"
"EmrCycleKey","Key linking to EMR cycle data."
"PGTBarcode","Barcode associated with PGT."
"EmrLabOrderKey","unique Key to EMR lab order data."
"OrderDate","Date when the order was placed."
"LabNames","Names of the labs involved."
"PGTOrderStatusDate","Date when the PGT order status was updated."
"AddedDate","Date when the record was added."
"LabUsed","Lab used for the analysis."
"DeletionReason","Reason for deletion of the order."
"ExternalSpecimenid","External identifier for the specimen."
"drawdate","Date when the blood or specimen was drawn."
"isRadiology","Indicates if it's related to radiology."
"method","Method used for the analysis."
"isResulted","Indicates if the results are available."
"collectiondate","Date of specimen collection."
"Doctor","Doctor associated with the order."
"PreorderNames","Names of the pre-orders associated with the order."
"isSemenAnalysisOrder","Indicates if it's an order for semen analysis."
"OrderFacility","Facility associated with the order."
"chat","Chat or communication related to the order."
