"FieldName","Description"
"EmrMultiBirthkey","unique Key with EMR multi-birth data."
"addedby","name of the user who added the record."
"AddedDate","Date when the record was added."
"WeightLb","Weight in pounds of the baby."
"WeightOz","Weight in ounces of the baby."
"PatientKey","identifier for the patient."
"Sex","Gender of the baby."
"deletedby","Name of the user who deleted the record."
"DeletedDate","Date when the record was deleted."
"EmrObHistoryPregKey","Key linking to EMR obstetric history pregnancy data."
"VisitKey","Unique identifier for patient visits."
"AdditionalBabyNumber","Number assigned to the additional baby. i.e. 1 is the first additional baby documented (twin)"
"Status","Status of the baby"
