"EmrDonor","Description"
"ProfileApprovedBy","Name of the person who approved the profile."
"source","Source from where the profile information is obtained."
"EmergencyState","State for emergency contact."
"Zip","ZIP code."
"AddedDate","Date when the entry was added."
"Ethnicity","Ethnicity of the donor."
"isExternalDonor","Indicates if the donor is external."
"BloodType","Blood type of the donor."
"PartnerRelationship","Relationship with the partner."
"dimples","Presence of dimples."
"BodyBuild","Body build of the donor."
"isDonorForSomeone","Indicates if the donor is donating for someone."
"reserved","Reserved information."
"City","City of residence."
"RomanNose","Presence of a Roman nose."
"HairTexture","Texture of the hair."
"PartnerName","Name of the partner."
"HairColor","Hair color of the donor."
"BaldnessFamily","Family history of baldness."
"HairType","Type of hair."
"BirthMarks","Presence of birthmarks."
"Skills","Skills or abilities of the donor."
"EmergencyCity","City for emergency contact."
"DonorFirstName","First name of the donor."
"Account","Account information."
"Phone","Phone number."
"Height","Height of the donor."
"IneligibleReason","Reason for ineligibility."
"PartnerEmail","Email of the partner."
"EmergencyZip","ZIP code for emergency contact."
"Gender","Gender of the donor."
"Vision","Vision status of the donor."
"PartnerAddress2","Address line 2 of the partner."
"PartnerAddress1","Address line 1 of the partner."
"EmergencyPhoneType","Phone type for emergency contact."
"Anonymous","Indicates if the donor's identity is anonymous."
"Address2","Address line 2."
"EyeColor","Eye color of the donor."
"PartnerState","State of the partner."
"EmergencyAddress1","Address line 1 for emergency contact."
"PatientKey","Unique key or identifier for the patient."
"eligibility","Eligibility status of the donor."
"PartnerDoB","Date of birth of the partner."
"ProfileApprovedDate","Date when the profile was approved."
"ProfileReviewedBy","Name of the person who reviewed the profile."
"HearingImpairments","Hearing impairments of the donor."
"active","Indicates if the profile is active."
"DonorLastName","Last name of the donor."
"LabNoRedrawReason","Reason for lab no redraw."
"EligibilityVerifiedDate","Date when eligibility was verified."
"PreliminaryDonorQuestion","Answers to preliminary donor questions."
"CleftChin","Presence of a cleft chin."
"PhotoDocuemntKey","identifier for the photo document."
"PartnerPhone","Phone number of the partner."
"PartnerCity","City of the partner."
"Country","Country of residence."
"handedness","Handedness of the donor."
"Eyewear","Usage of eyewear."
"isApproved","Indicates if the profile is approved."
"Baldness","Baldness status of the donor."
"Emergencyphone","Emergency phone number."
"Address1","Address line 1."
"Languages","Languages spoken by the donor."
"ProfileReviewedDate","Date when the profile was reviewed."
"Freckles","Presence of freckles."
"DeletedDate","Date when the entry was deleted."
"Email","Email address."
"EmergencyEmail","Email address for emergency contact."
"PartnerPhoneType","Phone type of the partner."
"EmergencyRelationship","Relationship with emergency contact."
"EmergencyName","Name of the emergency contact."
"addedby","Name of the person who added the entry."
"State","State of residence."
"PartnerOccupation","Occupation of the partner."
"isOutsideDonor","Indicates if the donor is from outside."
"EmrDonorKey","Unique key for the EMR donor."
"deletedby","Name of the person who deleted the entry."
"Notes","Additional notes or details."
"DonorDoB","Date of birth of the donor."
"IneligibilityWaitingPeriod","Waiting period for ineligibility."
"PreviousPatientKey","identifier for the previous patient."
"Age","Age of the donor."
"Orthodontic","Orthodontic status of the donor."
"PartnerZip","ZIP code of the partner."
"PhoneType","Phone type."
"isDonorShared","Indicates if the donor's information is shared."
"isDonatingtoGestationalCarrier","Indicates if the donor is donating to a gestational carrier."
"ClinicAnonymous","Indicates if the clinic is anonymous."
"EligibilityVerifiedBy","Name of the person who verified eligibility."
"EmergencyAddress2","Address line 2 for emergency contact."
"Weight","Weight of the donor."
"Teeth","Dental status of the donor."
"SkinTone","Skin tone of the donor."
"MatcherDonorType","Type of donor for matching."
