"FieldName","Description"
"SurgerySide","Side of the surgery (e.g., left, right, both)."
"SNOMEDCode","SNOMED code associated with the surgery."
"recordid","Identifier for the record."
"isEstimatedDate","Indicates if the surgery date is estimated."
"VisitKey","identifier for the visit associated with the surgery."
"SurgeryType","Type of surgery."
"SurgeryNote","Additional notes or details about the surgery."
"SurghisDate","Date of the surgery."
"AddedDate","Date when the entry was added."
"patientKey","identifier for the patient associated with the surgery."
"EmrSurgeryKey","identifier for the EMR surgery."
"deletedby","Name of the person who deleted the entry."
"EmrSurghisKey","Unique key for the EMR surgery history."
"IsReviewRequired","Indicates if a review is required"
"DeletedDate","Date when the entry was deleted."
"addedby","Name of the person who added the entry."
