"FieldName","Description"
"isLatexAllergy","Indicates if there is a latex allergy."
"VisitKey","identifier for patient visits."
"isBreastfeeding","Indicates if breastfeeding is taking place."
"isEmergBloodTransfusionOK","Indicates if emergency blood transfusion is acceptable."
"DeletedDate","Date when the record was deleted."
"addedby","Name of the user who added the record."
"isDoula","Indicates if a doula is involved."
"hospital","Hospital where the pregnancy is being managed."
"EmrPregnancyPlanKey","Unique Key to pregnancy plan data."
"AddedDate","Date when the record was added."
"isAnesthesiaConsultPlanned","Indicates if there is a planned anesthesia consultation."
"Doctor","Doctor overseeing the pregnancy."
"father","Name of the father."
"isSterilization","Indicates if sterilization is planned."
"EmrPregnancyKey","Key linking to pregnancy data."
"pediatrition","Name of the pediatrician."
"partner","Name of the partner."
"isCircumcision","Indicates if circumcision is planned."
"isHighRiskPregnancy","Indicates if it's a high-risk pregnancy."
"deletedby","Name of the user who deleted the record."
"PostpartumContraception","Type of contraception planned for postpartum."
