"FieldName","Description"
"AbsoluteOocyteid","Identifier for absolute oocyte"
"addedby","User or personnel who added the entry"
"AddedDate","Date when the entry was added"
"AnnualStartDate","Start date for the annual cycle"
"aspirationid","Identifier for oocyte aspiration"
"isAvailableForDonation","Flag indicating oocyte availability for donation"
"banking","Information related to oocyte banking"
"caneid","Identifier for a container or cane"
"collectedDate","Date when oocytes were collected"
"TankColor1","Color of the first tank"
"TankColor2","Color of the second tank"
"CryoPurpose","Purpose for cryopreservation"
"Screening","Cyro screening status"
"Cryodevice","Device used for cryopreservation"
"cryonotes","Notes or comments related to cryopreservation"
"cryotechnique","Technique used for cryopreservation"
"EmrCycleKey","Identifier for the EMR cycle"
"deletedby","User who deleted the entry"
"DeletedDate","Date when the entry was deleted"
"destroyedDate","Date when oocytes were destroyed"
"destroyedby","User who destroyed the oocytes"
"donatedtoclinicby","User who donated oocytes to a clinic"
"DonatedtoClinicDate","Date when oocytes were donated to a clinic"
"donatedtoclinicreason","Reason for donating oocytes to a clinic"
"EmrDonorKey","Identifier for the EMR donor"
"EggSourceEligibility","Eligibility related to the source of eggs"
"FDAEligibility","Eligibility related to FDA regulations"
"FreezingMediumLotNumber","Lot number of the freezing medium"
"FreezingMedium","Type of freezing medium used"
"isFreshorThawed","Indication of whether the oocytes are fresh or thawed"
"frozenDate","Date when oocytes were frozen"
"frozenby","User who froze the oocytes"
"frozenby2","Additional user involved in oocyte freezing"
"EmrIvfSampleKey","Identifier for the EMR IVF sample"
"ImportSource","Source from which data was imported"
"isDonor","Flag indicating if the individual is a donor"
"log","Log or record of activities"
"material","Material related to oocytes"
"NumberinRetrieval","Number of oocytes in retrieval"
"NumberinOriginalFreeze","Number of oocytes in the original freezing"
"ord","Order or sequence information"
"EmrOriginalDonorKey","Identifier for the original EMR donor"
"OriginalOrd","Original order or sequence"
"OriginalPatientKey","Identifier for the original patient"
"PaidUntilDate","Date until which payment is made"
"PatientKey","Identifier for the patient"
"TankPosition1","Position of the oocytes in the first tank"
"TankPosition2","Position of the oocytes in the second tank"
"TankPosition3","Position of the oocytes in the third tank"
"receivedDate","Date when oocytes were received"
"RefrozenSampleAmount","Amount of refrozen oocytes"
"refreezeEmrIvfSampleKey","Identifier for the EMR IVF sample after refreezing"
"refrozenDate","Date when oocytes were refrozen"
"reserveforcycleid","Identifier for reserving oocytes for a cycle"
"samplegroup","Group or category of the samples"
"samplesource","Source of the samples"
"EmrIvfSemenAnalysisKey","Identifier for the EMR IVF semen analysis"
"SentFacilityAddress","Address of the facility where oocytes were sent"
"SentFacilityName","Name of the facility where oocytes were sent"
"sentby","User who sent the oocytes"
"sentDate","Date when oocytes were sent"
"ExternalSpecimenid","Identifier for an external specimen"
"SpermSource","Source of sperm"
"SpermSourceEligibility","Eligibility related to the source of sperm"
"TankFacility","Facility associated with the tank"
"Tank","Identifier for the tank"
"TestThawEmrIvfSampleKey","Identifier for the EMR IVF sample used for test thaw"
"testthawresult","Result of the test thaw"
"ThawAmount","Amount of oocytes thawed"
"ThawWitness","Witness of the oocyte thawing"
"thawedDate","Date when oocytes were thawed"
"thawedby","User who thawed the oocytes"
"thawedfor","Purpose for which oocytes were thawed"
"TMRWBarcode","Barcode associated with TMRW (possibly a technology or system)"
"TMRWBeaconBarcode","Barcode for a TMRW beacon"
"TMRWData","Data related to TMRW"
"TMRWInventoryAction","Inventory action related to TMRW"
"TMRWLocation","Location associated with TMRW"
"TMRWPurpose","Purpose related to TMRW"
"TMRWRobotLayout","Layout of robots in the TMRW system"
"TMRWInventoryStatus","Inventory status in the TMRW system"
"TMRWTicketid","Identifier for a TMRW ticket"
"TMRWUpdatedDate","Date of update in the TMRW system"
"TankType","Type of tank"
"Usebydate","Date until which the oocytes are to be used"
