"EmrSemenmeasurement","Description"
"addedby","Name of the user who added the record."
"Measuredresult1","measured result in the semen analysis."
"EmrProblemKey","Key linking to patient's problem data."
"EmrIVFSemenAnalysisKey","Key linking to patient's IVF semen analysis data."
"AddedDate","Date when the record was added."
"EmrSemenMeasurementKey","unique Key for patient's semen measurement data."
"method","Method used for the semen measurement."
"data","Data or values obtained from the semen measurement."
"LabTest","Type of laboratory test conducted."
"deletedby","Identifier of the user who deleted the record."
"isAbnormal","Indicates whether the measurement result is abnormal."
"PatientKey","identifier for the patient."
"Step","Step or stage of the measurement process."
"Measuredresult2","measured result in the semen analysis."
"VisitKey","identifier for patient visits."
"DeletedDate","Date when the record was deleted."
"note","Additional notes or comments related to the record."
"ordertype","Type of order associated with the record."
"recordid","identifier for each record."
"FinalMeasuredResult","Final result obtained from the measurement."
