"FieldName","Description"
"DiclosurePurpose","Purpose of the disclosure of the record."
"Recordid","identifier for the record."
"patientKey","identifier for the patient associated with the record."
"RecordType","Type of the record."
"RecipientName","Name of the recipient of the record."
"VisitKey","identifier for the visit associated with the record."
"EmrDisclosureInfoKey","Unique key for the EMR disclosure information."
"DeletedDate","Date when the record was deleted (if applicable)."
"addedby","Name of the person who added the record."
"deletedby","Name of the person who deleted the record."
"AddedDate","Date when the record was added."
"isIncludePatientInfo","Indicates whether patient information is included in the disclosure."
"RecipientAddress","Address of the recipient."
