"FieldName","Description"
"addedby","Name of the user who added the record."
"AddedDate","Date when the record was added."
"Cervix","Cervix information."
"CrownRumpLength","Length from the crown to the rump."
"GAviaCRL","Gestational age via Crown Rump Length."
"GAviaCRL2","Gestational age via Crown Rump Length (2nd measurement)."
"GAviaCRL3","Gestational age via Crown Rump Length (3rd measurement)."
"GAviaCRL4","Gestational age via Crown Rump Length (4th measurement)."
"GAviaCRL5","Gestational age via Crown Rump Length (5th measurement)."
"GAviaCRL6","Gestational age via Crown Rump Length (6th measurement)."
"GAviaCRL7","Gestational age via Crown Rump Length (7th measurement)."
"GAviaCRL8","Gestational age via Crown Rump Length (8th measurement)."
"CrownRumpLength2","Crown Rump Length (2nd measurement)."
"CrownRumpLength3","Crown Rump Length (3rd measurement)."
"CrownRumpLength4","Crown Rump Length (4th measurement)."
"CrownRumpLength5","Crown Rump Length (5th measurement)."
"CrownRumpLength6","Crown Rump Length (6th measurement)."
"CrownRumpLength7","Crown Rump Length (7th measurement)."
"CrownRumpLength8","Crown Rump Length (8th measurement)."
"CuldeSac","Cul-de-sac-related information."
"EmrCycleScheduleDayKey","Key associated with EMR cycle schedule day."
"EmrCycleKey","Key associated with EMR cycle."
"cysts","Cysts information."
"deletedby","name of the user who deleted the record."
"DeletedDate","Date when the record was deleted."
"DocumentKey","Key associated with the document."
"EDC","Estimated Date of Confinement."
"EstimatedFetalWeight","Estimated fetal weight."
"EstimatedFetalWeight2","Estimated fetal weight (2nd measurement)."
"EstimatedFetalWeight3","Estimated fetal weight (3rd measurement)."
"EstimatedFetalWeight4","Estimated fetal weight (4th measurement)."
"EstimatedFetalWeight5","Estimated fetal weight (5th measurement)."
"EstimatedFetalWeight6","Estimated fetal weight (6th measurement)."
"EstimatedFetalWeight7","Estimated fetal weight (7th measurement)."
"EstimatedFetalWeight8","Estimated fetal weight (8th measurement)."
"EGA","Estimated gestational age."
"ETDate","Embryo transfer date."
"FetalHeartRate","Fetal heart rate."
"FetalHeartRate2","Fetal heart rate (2nd measurement)."
"FetalHeartRate3","Fetal heart rate (3rd measurement)."
"FetalHeartRate4","Fetal heart rate (4th measurement)."
"FetalHeartRate5","Fetal heart rate (5th measurement)."
"FetalHeartRate6","Fetal heart rate (6th measurement)."
"FetalHeartRate7","Fetal heart rate (7th measurement)."
"FetalHeartRate8","Fetal heart rate (8th measurement)."
"FibroidDepth","Fibroid depth."
"FibroidLength","Fibroid length."
"FibroidWidth","Fibroid width."
"Fibroids","Fibroids information."
"GestationalAge","Gestational age."
"GestationalAgeNote","Note related to gestational age."
"GestationalAgeNote2","Note related to gestational age (2nd measurement)."
"GestationalAgeNote3","Note related to gestational age (3rd measurement)."
"GestationalAgeNote4","Note related to gestational age (4th measurement)."
"GestationalAgeNote5","Note related to gestational age (5th measurement)."
"GestationalAgeNote6","Note related to gestational age (6th measurement)."
"GestationalAgeNote7","Note related to gestational age (7th measurement)."
"GestationalAgeNote8","Note related to gestational age (8th measurement)."
"GestationalAge2","Gestational age (2nd measurement)."
"GestationalAge3","Gestational age (3rd measurement)."
"GestationalAge4","Gestational age (4th measurement)."
"GestationalAge5","Gestational age (5th measurement)."
"GestationalAge6","Gestational age (6th measurement)."
"GestationalAge7","Gestational age (7th measurement)."
"GestationalAge8","Gestational age (8th measurement)."
"hcgdate","Human chorionic gonadotropin (hCG) date."
"EmrIvfObUsKey","unique Key associated with EMR IVF obstetric ultrasound."
"IUIDate","Intrauterine insemination (IUI) date."
"LeftCysts","Left ovary cysts-related information."
"LeftOvaryDepth","Depth of the left ovary."
"LeftOvaryLength","Length of the left ovary."
"LeftOvaryVolume","Volume of the left ovary."
"LeftOvaryWidth","Width of the left ovary."
"LMPDate","Last Menstrual Period (LMP) date."
"isNonViablePregnancy","Indicates if the pregnancy is non-viable."
"notes","General notes."
"EmbryoNumber","Number of embryos."
"EmbryoNumber2","Number of embryos (2nd measurement)."
"EmbryoNumber3","Number of embryos (3rd measurement)."
"EmbryoNumber4","Number of embryos (4th measurement)."
"EmbryoNumber5","Number of embryos (5th measurement)."
"EmbryoNumber6","Number of embryos (6th measurement)."
"EmbryoNumber7","Number of embryos (7th measurement)."
"EmbryoNumber8","Number of embryos (8th measurement)."
"FetalHearts","Number of fetal hearts."
"Fetus","Fetus information."
"SACNumber","Number of subchorionic hematomas."
"SACNumber2","Number of subchorionic hematomas (2nd measurement)."
"SACNumber3","Number of subchorionic hematomas (3rd measurement)."
"SACNumber4","Number of subchorionic hematomas (4th measurement)."
"SACNumber5","Number of subchorionic hematomas (5th measurement)."
"SACNumber6","Number of subchorionic hematomas (6th measurement)."
"SACNumber7","Number of subchorionic hematomas (7th measurement)."
"SACNumber8","Number of subchorionic hematomas (8th measurement)."
"OvaryNotes","Notes related to ovaries."
"PatientKey","Key associated with the patient."
"PatientPortalReceivedDate","Date when the patient portal received the information."
"PatientPortalReleasedBy","User who released information on the patient portal."
"atientPortalReleasedDate","Date when the patient portal released the information."
"PatientPortalReleaseNote","Notes related to the patient portal release."
"performedby","User who performed the action."
"performedDate","Date when the action was performed."
"placenta","Information related to the placenta."
"EmrPlanKey","Key associated with the EMR plan."
"isPreferred","Indicates if the record is preferred."
"releasedby","User who released the information."
"ReleasedDate","Date when the information was released."
"reviewedby","User who reviewed the information."
"ReviewedDate","Date when the information was reviewed."
"reviewnotes","Notes related to the review."
"RightCysts","Right ovary cysts-related information."
"RightOvaryDepth","Depth of the right ovary."
"RightOvaryLength","Length of the right ovary."
"RightOvaryVolume","Volume of the right ovary."
"RightOvaryWidth","Width of the right ovary."
"GestationalVisualize","Gestational visualization information."
"GAviaSAC","Gestational age via subchorionic hematoma."
"GAviaSAC2","Gestational age via subchorionic hematoma (2nd measurement)."
"GAviaSAC3","Gestational age via subchorionic hematoma (3rd measurement)."
"GAviaSAC4","Gestational age via subchorionic hematoma (4th measurement)."
"GAviaSAC5","Gestational age via subchorionic hematoma (5th measurement)."
"GAviaSAC6","Gestational age via subchorionic hematoma (6th measurement)."
"GAviaSAC7","Gestational age via subchorionic hematoma (7th measurement)."
"GAviaSAC8","Gestational age via subchorionic hematoma (8th measurement)."
"GestationalNote","Note related to gestational age via subchorionic hematoma."
"GestationalNote2","Note related to gestational age via subchorionic hematoma (2nd measurement)."
"GestationalNote3","Note related to gestational age via subchorionic hematoma (3rd measurement)."
"GestationalNote4","Note related to gestational age via subchorionic hematoma (4th measurement)."
"GestationalNote5","Note related to gestational age via subchorionic hematoma (5th measurement)."
"GestationalNote6","Note related to gestational age via subchorionic hematoma (6th measurement)."
"GestationalNote7","Note related to gestational age via subchorionic hematoma (7th measurement)."
"GestationalNote8","Note related to gestational age via subchorionic hematoma (8th measurement)."
"GestationalVisualize2","Gestational visualization information (2nd measurement)."
"GestationalVisualize3","Gestational visualization information (3rd measurement)."
"GestationalVisualize4","Gestational visualization information (4th measurement)."
"GestationalVisualize5","Gestational visualization information (5th measurement)."
"GestationalVisualize6","Gestational visualization information (6th measurement)."
"GestationalVisualize7","Gestational visualization information (7th measurement)."
"GestationalVisualize8","Gestational visualization information (8th measurement)."
"isUndeterminedViability","Indicates if viability is undetermined."
"UterusDepth","Depth of the uterus."
"UterusLength","Length of the uterus."
"UterusVolume","Volume of the uterus."
"UterusWidth","Width of the uterus."
"isViablePregnancy","Indicates if the pregnancy is viable."
"Visitkey","Key associated with the visit."
"YolkVisualize","Yolk sac visualization information."
"YolkNote","Note related to yolk sac visualization."
"YolkNote2","Note related to yolk sac visualization (2nd measurement)."
"YolkNote3","Note related to yolk sac visualization (3rd measurement)."
"YolkNote4","Note related to yolk sac visualization (4th measurement)."
"YolkNote5","Note related to yolk sac visualization (5th measurement)."
"YolkNote6","Note related to yolk sac visualization (6th measurement)."
"YolkNote7","Note related to yolk sac visualization (7th measurement)."
"YolkNote8","Note related to yolk sac visualization (8th measurement)."
"YolkVisualize2","Yolk sac visualization information (2nd measurement)."
"YolkVisualize3","Yolk sac visualization information (3rd measurement)."
"YolkVisualize4","Yolk sac visualization information (4th measurement)."
"YolkVisualize5","Yolk sac visualization information (5th measurement)."
"YolkVisualize6","Yolk sac visualization information (6th measurement)."
"YolkVisualize7","Yolk sac visualization information (7th measurement)."
"YolkVisualize8","Yolk sac visualization information (8th measurement)."
