"FieldName","Description"
"PatientKey","identifier for the patient."
"ResultDoneby","name of the individual who conducted the test."
"addedDate","Date when the record was added."
"EmrMeasurementKey","Key linking to patient's Labs measurement data."
"note","Additional notes or comments ."
"ChecklistItem","Item on the checklist ."
"assignedto","Individual assigned to the checklist item."
"OrderBy","Order or priority of the checklist item."
"ResultDoneDate","Date when the measurement was taken."
"checklistgroup","Group to which the checklist item belongs."
"MovedtoHxDate","Date when the item was moved to the history."
"EmrLabOrderKey","Key linking to patient's lab order data."
"ChecklistType","Type or category of the checklist item."
"result","Status of the Checklist Item."
"DeletedDate","Date when the record was deleted."
"EmrChecklistItemKey","Unique Key for checklist item data."
"MovedtoHxBy","Person responsible for moving the item to history."
"LabsName","Name of the lab test."
"ExpireInterval","Time interval for the Checklist to expire or be rechecked."
"EmrMeasurementBundleKey","Key linking to patient's labs measurement bundle data."
"EmrCycleKey","Key linking to patient's cycle data."
"addedby","name of the user who added the record."
"deletedby","name of the user who deleted the record."
