"FieldName","Description"
"RequestCallbackKey","Unique key for the request callback."
"RequestCallbackDueDtae","Date by which the request callback is due."
"RequestCallbackCompletedDate","Date when the request callback was completed."
"RequestCallbackCompletedBy","Name of the person who completed the request callback."
"RequestCallbackDetails","Additional details about the request callback."
"RequestCallbackStartedBy","Name of the person who started the request callback."
"RequestCallbackState","State of the request callback (e.g., Not Done, Done, Deleted)."
"RequestCallbackAttempt","Number of attempts made for the request callback."
"RequestCallbackAssignedTo","Name of the person to whom the request callback was assigned."
"FinalPatientContactKey","identifier for the final patient contact."
"RequestCallbackType","Type or category of the request callback."
"InitialPatientContactKey","identifier for the initial patient contact."
"patientKey","identifier for the patient associated with the request callback."
"RequestCallbackStartedDate","Date when the request callback was started."
