"FieldName","Description"
"addedby","Name of the user who added the record."
"AddedDate","Date when the record was added."
"LeftFollicularCount10","Count of left follicles with a size of 10."
"LeftFollicularCount11","Count of left follicles with a size of 11."
"LeftFollicularCount12","Count of left follicles with a size of 12."
"LeftFollicularCount13","Count of left follicles with a size of 13"
"LeftFollicularCount14","Count of left follicles with a size of 14"
"LeftFollicularCount15","Count of left follicles with a size of 15"
"LeftFollicularCount16","Count of left follicles with a size of 16"
"LeftFollicularCount17","Count of left follicles with a size of 17"
"LeftFollicularCount18","Count of left follicles with a size of 18"
"LeftFollicularCount19","Count of left follicles with a size of 19"
"LeftFollicularCount20","Count of left follicles with a size of 20"
"LeftFollicularCount21","Count of left follicles with a size of 21"
"LeftFollicularCount22","Count of left follicles with a size of 22"
"LeftFollicularCountgt22","Count of left follicles greater than 22 in size."
"LeftFollicularCountlt10","Count of left follicles less than 10 in size."
"LeftFollicularCount","Total count of left follicles."
"RightFollicularCount10","Count of right follicles with a size of 10."
"RightFollicularCount11","Count of right follicles with a size of 11."
"RightFollicularCount12","Count of right follicles with a size of 12."
"RightFollicularCount13","Count of right follicles with a size of 13"
"RightFollicularCount14","Count of right follicles with a size of 14"
"RightFollicularCount15","Count of right follicles with a size of 15"
"RightFollicularCount16","Count of right follicles with a size of 16"
"RightFollicularCount17","Count of right follicles with a size of 17"
"RightFollicularCount18","Count of right follicles with a size of 18"
"RightFollicularCount19","Count of right follicles with a size of 19"
"RightFollicularCount20","Count of right follicles with a size of 20"
"RightFollicularCount21","Count of right follicles with a size of 21"
"RightFollicularCount22","Count of right follicles with a size of 22"
"RightFollicularCountgt20","Count of right follicles greater than 20 in size."
"RightFollicularCountlt10","Count of right follicles less than 10 in size."
"RightFollicularCount","Total count of right follicles."
"EmrCycleScheduleDayKey","Key linking to patient's cycle schedule day data."
"EmrCycleKey","Key linking to patient's cycle data."
"cysts","Presence of cysts."
"deletedby","Name of the user who deleted the record."
"DeletedDate","Date when the record was deleted."
"DocumentKey","Key identifying the document."
"eml","EML data."
"endometrium","Measurement related to the endometrium."
"fibroidDepth","Depth measurement of fibroids."
"fibroidLength","Length measurement of fibroids."
"fibroidWidth","Width measurement of fibroids."
"fibroids","Presence of fibroids."
"genericname","Generic name"
"EmrIvfFollicularUskey","Unique Key to IVF follicular ultrasound data."
"LeftCysts","Number of cysts on the left side."
"LeftFollicle","Measurement related to left follicles."
"LeftOvaryDepth","Depth measurement of the left ovary."
"LeftOvaryLength","Length measurement of the left ovary."
"LeftOvaryVolume","Volume measurement of the left ovary."
"LeftOvaryWidth","Width measurement of the left ovary."
"notes","Additional notes or comments related to the record."
"LeftSmallFollicles","Number of small follicles on the left side."
"RightSmallFollicles","Number of small follicles on the right side."
"PatientKey","Unique identifier for the patient."
"PatientPortalReceivedDate","Date when the content was received in the patient portal."
"PatientportalReleasedby","Person who released the content in the patient portal."
"PatientPortalReleasedDate","Date when the content was released in the patient portal."
"PatientportalReleaseNote","Note related to the release of content in the patient portal."
"performedby","Person who performed the procedure."
"OtherDoctor","Other doctor or healthcare professional involved."
"PerformedDate","Date when the procedure was performed."
"EmrPlanKey","Key linking to patient's plan data."
"preferred","Indicates preference."
"releasedby","Identifier of the user who released the record."
"releasedDate","Date when the record was released."
"reviewedby","Name of the user who reviewed the record."
"reviewedDate","Date when the record was reviewed."
"reviewnotes","Notes related to the review of the record."
"RightCysts","Number of cysts on the right side."
"RightFollicle","Measurement related to right follicles."
"RightOvaryDepth","Depth measurement of the right ovary."
"RightOvaryLength","Length measurement of the right ovary."
"RightOvaryVolume","Volume measurement of the right ovary."
"RightOvaryWidth","Width measurement of the right ovary."
"study","Details related to a medical study or research."
"UterusDepth","Depth measurement of the uterus."
"UterusLength","Length measurement of the uterus."
"UterusVolume","Volume measurement of the uterus."
"UterusWidth","Width measurement of the uterus."
"VisitKey","identifier for patient visits."
