"FieldName","Description"
"isDeleted","Indicates if the ledger item is deleted."
"LedgerAdjustment","Adjustment related to the ledger item."
"isPermanent","Indicates if the ledger item adjustment is permanent."
"ledgeritemAddedBy","Name or identifier of the person who added the ledger item."
"LedgerItem","Description or name of the ledger item."
"DoctorName","Name of the doctor or healthcare provider associated with the ledger item."
"PatientKey","Unique key or identifier for the patient associated with the ledger item."
"ledgeritemKey","Unique key or identifier for the ledger item."
"ledgeritemAddedDate","Date when the ledger item was added.ClinicKey"
"ClinicKey","Unique key or identifier for the clinic associated with the ledger item."
