"FieldName","Description"
"DrugName","Name of the drug."
"PrescriptionStartDay","Start day of the prescription."
"PrescriptionInstructions","Instructions for taking the prescription."
"AddedDate","Date when the prescription was added."
"deletedby","Name of the person who deleted the prescription."
"DeletedDate","Date when the prescription was deleted (if applicable)."
"addedby","Name of the person who added the prescription."
"PrescriptionFor","For whom the prescription is intended."
"PrescriptionOrder","Order of the prescription."
"PrescriptionNotes","Additional notes related to the prescription."
"DosageAmount","Amount or dosage of the drug."
"PrescriptionPeriod","Period for which the prescription is valid."
"ProtocolName","Name of the protocol associated with the prescription."
"DrugPlanKey","Unique key for the drug plan."
"PrescriptionFrequency","Frequency at which the prescription should be taken."
"EMRCyclekey","identifier for the EMR cycle associated with the prescription."
"DrugPlanScheduleInclusionState","Inclusion state of the drug plan schedule."
