"FieldName","Description"
"EmrCycleScheduleRowkey","identifier for the EMR cycle schedule row."
"EmrCycleScheduleDayKey","Unique key for the EMR cycle schedule day."
"PrescribeDrugNotes","Notes related to the prescribed drug."
"labPlanKey","identifier for the lab plan associated with the prescription."
"PrescribeDrugDirections","Directions for taking the prescribed drug."
"AddedDate","Date when the entry was added."
"PrescribeDrugDosage","Dosage amount of the prescribed drug."
"patientKey","identifier for the patient associated with the prescription."
"PrescribeDrugFrequency","Frequency at which the prescribed drug should be taken."
"PrescribeDrugDuration","Duration for which the prescribed drug is to be taken."
"addedby","Name of the person who added the entry."
"EmrPlanKey","identifier for the EMR plan associated with the prescription."
"isInstructionChange","Indicates if there is a change in instructions."
"ScheduleDayDate","Date of the schedule day."
"DeletedDate","Date when the entry was deleted (if applicable)."
"PlanStatus","Status of the plan."
"deletedby","Name of the person who deleted the entry."
