"FieldName","Description"
"ProfessionalAssociation","Professional associations the donor is associated with."
"Positionheld","Position held by the donor in the professional association."
"DeletedDate","Date when the employment entry was deleted (if applicable)."
"EmploymentStartDate","Start date of the donor's employment."
"ProfessionalAwards","Awards or recognitions received by the donor related to employment."
"DonorEmployment","Employment details of the donor."
"DonorKey","identifier for the donor associated with the employment."
"CompanyName","Name of the company where the donor is employed."
"AddedDate","Date when the employment entry was added."
"EmploymentEndDate","End date of the donor's employment (if applicable)."
