"FieldName","Description"
"RefundedPaymentKey","Unique key for the payment that was refunded."
"addedby","Name of the person who added the refund."
"PaidAmount","Amount that was paid as a refund."
"AddedDate","Date when the refund was added."
"usedDate","Date when the refund amount was used or applied."
"dueDate","Date when the refund is due or scheduled."
"purpose","Purpose or reason for the refund."
"TotalAmount","Total amount of the refund."
"patientkey","Unique key or identifier for the patient associated with the refund."
"prepaymentKey","Unique key or identifier for the prepayment associated with the refund."
