"FieldName","Description"
"AddedDate","Date when the entry was added."
"isMedicalRecord","Indicates if the entry is a medical record."
"RequestRecallKey","identifier for the request recall."
"ContactOrigins","Origin or source of the contact."
"RequestCallbackKey","identifier for the request callback."
"ishtml","Indicates whether the note is in HTML format."
"Doctor","Name of the doctor associated with the contact."
"isNoAnswer","Indicates if there was no answer during the contact."
"AppointmentKey","identifier for the appointment associated with the contact."
"ColorCode","Color code associated with the contact."
"SnomedCodes","SNOMED codes associated with the contact."
"NotifiedPerson","Person who has to be notified of the contact."
"ContactTo","person to whom the contact was made."
"PatMailKye","identifier for the patient mail."
"DocumentKey","identifier for the document associated with the contact."
"Subject","Subject of the contact."
"AddedBy","Name of the person who added the entry."
"bannedby","Name of the person who banned the entry."
"VisitKey","identifier for the visit associated with the contact."
"RequestOnlineKey","identifier for the online request."
"patientKey","identifier for the patient associated with the contact."
"ContactDate","Date of the contact."
"OtherDocumentKey","identifier for other associated documents."
"UpdatedDate","Date when the entry was updated."
"Labs","Labs associated with the contact."
"PatientContactKey","identifier for the patient contact."
"Interaction","Interactions with the contact."
"isReminder","Indicates if it is a reminder."
"EmrProblemKey","identifier for the EMR problem associated with the contact."
"Details","Additional details or information about the contact."
