"FieldName","Description"
"addedby","Name of the user who added the record."
"notes","Additional notes or comments related to the record."
"trimester","Trimester of pregnancy."
"AmnioticFluidIndex","Measurement of the amniotic fluid index."
"DeletedDate","Date when the record was deleted."
"VisitKey","Unique identifier for patient visits."
"EmrObUltrasoundKey","Unique Key to obstetric ultrasound data."
"deletedby","Name of the user who deleted the record."
"GestationAgeWeeks","Gestational age in weeks."
"indication","Indication for the ultrasound."
"EstimatedDueDate","Estimated due date of the pregnancy."
"AddedDate","Date when the record was added."
"EmrPregnancyKey","Key linking to pregnancy data."
"EstimatedFetalWeight","Estimated fetal weight."
"doneDate","Date when the record was completed."
"PatientKey","Unique identifier for the patient."
"GestationAgeDays","Gestational age in days."
