"FieldName","Description"
"NextActionkey","identifier for the next action related to the visit."
"ActionAdditionalInformation","Additional information related to the action."
"ActionDoneBy","Name of the person who performed the action."
"ActionPerformed","Indicates if the action was performed or completed."
"ActionItemDeadline","Deadline or due date for the action item."
"VisitKey","identifier for the visit associated with the action."
"Actionkey","Unique key for the action."
"AddedOn","Date when the action was added."
"ActionNotes","Notes or comments related to the action."
"ActionPerformedDate","Date when the action was performed."
"ActionItem","Description of the action item."
"ActionType","Type of the action."
"AddedBy","Name of the person who added the action."
