"FieldName","Description"
"DateodDeath","Date of death for the patient."
"relativeFirstName","First name of a relative."
"deletedby","name of the user who deleted the record."
"relativeMiddleName","Middle name of a relative."
"gender","Gender of the patient."
"addedby","Name of the user who added the record."
"relativeLastName","Last name of a relative."
"DateofBirthEstimated","Estimated date of birth for the patient."
"relativeKey","Unique identifier for the relative."
"DateodDeathEstimated","Estimated date of death for the patient."
"NoMedHistEmrPatientKey","Key linking to patient's medical history data."
"addedDate","Date when the record was added."
"SourcePatientKey","Key linking to the source patient data."
"deletedDate","Date when the record was deleted."
"DateofBirth","Date of birth for the patient."
