"FieldName","Description"
"notes","Additional information or comments related to the allergy."
"source","Source of the allergy information."
"concepttype","Type of concept related to the allergy."
"NewcropAllergyKey","Key for the Newcrop allergy."
"compositeid","Composite identifier for the allergy."
"conceptid","Identifier for the concept related to the allergy."
"Allergy","The type or name of the allergy."
"status","Current status of the allergy."
"rxcui","RXCUI identifier associated with the allergy."
"retrieved","Date when the allergy information was retrieved."
"isEnterViaPortal","Indicates whether the allergy information was entered via a portal."
"addedby","Person who added the allergy information."
"concepttypeid","Identifier for the type of concept."
"severityname","Name of the severity level of the allergy."
"PatientKey","Unique key or identifier for the patient."
"severitytypeid","Identifier for the severity type of the allergy."
