"FieldName","Description"
"isDispenseasWritten","Indicates whether the prescription is dispensed as written."
"isRxKeepDiscontinued","Indicates whether the RX should be kept after discontinued."
"RenewalDate","Date for renewing the prescription."
"deaclasscode","Code associated with DEA class."
"SubStatus","Sub-status of the prescription."
"IntakeInstruction","Instructions for medication intake."
"refills","Number of refills for the prescription."
"EmrPlanKey","Key linking to patient's plan data."
"DrugInfo","Information about the prescribed drug."
"DaysSupply","Number of days the prescription should last."
"ControlledRxId","Identifier for controlled prescription."
"DrugStrength","Strength of the prescribed drug."
"FinalStatusType","Final status type of the prescription."
"rxguid","GUID associated with the prescription."
"archivedvisitKey","Archived visit key related to the prescription."
"VisitKey","identifier for patient visits."
"addedDate","Date when the record was added."
"Doctor","name of the doctor."
"NewcropDrugKey","unique Key to Newcrop drug data."
"Intake","Intake details for the medication."
"ImportStatus","Status of the medication import."
"ExternalEducation","External education related to the medication."
"DrugStrengthuom","Unit of measure for drug strength."
"rxcui","RXCUI identifier associated with the drug."
"orderGuid","GUID for the prescription order."
"XmitTo","Where the prescription is transmitted to."
"DrugGenericName","Generic name of the drug."
"isDrugType","Indicates whether the item is a drug type."
"DoseForm","Form of the prescribed drug."
"DispenseUnit","Unit for dispensing the drug."
"isEnterViaPortal","Indicates whether the item was entered via portal."
"istakeasneeded","Indicates whether the medication is to be taken as needed."
"DoseFrequency","Frequency of the medication dose."
"FinalDestinationType","Final destination type of the prescription."
"ParientKey","identifier for the patient table."
"OrderDoctor","Doctor who issued the order."
"EmrProblemkey","Key linking to patient's problem data."
"Dispense","Indicates whether the prescription is for dispensing."
"DrugName","Name of the prescribed drug."
"DoseNum","Number of doses."
"isLeafletPrint","Indicates whether a leaflet is to be printed."
"datearchived","Date when the record was archived."
"DiscontinuedDate","Date when the prescription was discontinued."
"FriendlyReminder","Indicates whether a friendly reminder is needed."
"xmitmethod","Method of transmission."
"Status","Status of the prescription."
"prescribedDate","Date when the prescription was prescribed."
"drugid","Identifier for the drug."
"DiscontinuedGuid","GUID associated with the discontinued prescription."
"addedby","name of the user who added the record."
"PrescribingDoctor","Doctor who prescribed the medication."
"XmitStatus","Status of the transmission."
