"FieldName","Description"
"ChequeNumber","Number associated with the cheque."
"TotalAmount","Total amount of the payment."
"PaymentType","Type or method of payment."
"quoteKey","Unique key for the quote related to the payment."
"AcceptanceCost","Cost associated with the acceptance of the payment."
"PaymentKey","Unique key for the payment."
"paymentDeletedDate","Date when the payment was deleted."
"patientKey","Unique key for the patient associated with the payment."
"paymentDeletedby","Name or identifier of the person who deleted the payment."
"InsuranceLevel","Level or type of insurance associated with the payment."
"ReceivedDate","Date when the payment was received."
"paymentAddedDate","Date when the payment was added."
"ChequeDate","Date when the cheque was issued."
"AdditionalNotes","Additional comments related to the payment."
"DepositSlipDate","Date when the deposit slip for the payment was generated."
"paymentAddedby","Name of the person who added the payment."
"emrCycleKey","Unique key for the EMR cycle related to the payment."
"PayjunctionPayer","Payer associated with the Payjunction payment."
"PaymentPurpose","Purpose or reason for the payment."
"PayerName","Name of the payer associated with the payment."
"isFrom835Document","Indicates if the payment is derived from a 835 document."
"ReceivedLocation","Location where the payment was received."
"reportingdate","Date when the payment was reported."
"DoctorName","Name of the doctor associated with the payment."
"PaymentReconciled","Indicates if the payment has been reconciled."
"taxid","Tax identification number associated with the payment."
"payjunction","Details related to the Payjunction payment."
