Table,Column,Type,Size,Description

AdminComponent,,,,Admin Component
AdminComponent,AdminComponent_ID,bigint,,ID for AdminComponent
AdminComponent,OrderComponent_ID,bigint,,Reference to OrderComponent
AdminComponent,RowVersionNumber,int,,Row Version Number
AdminComponent,TherapyAdmin_ID,bigint,,Reference to TherapyAdmin

AdminField,,,,Admin Field
AdminField,AdminField_ID,bigint,,ID for AdminField
AdminField,FieldValue,varchar,1000,Field Value
AdminField,RowVersionNumber,int,,Row Version Number
AdminField,TherapyAdmin_ID,bigint,,Reference to TherapyAdmin
AdminField,UserDefinedField_ID,bigint,,Reference to UserDefinedField

AdminObservation,,,,Admin Observation
AdminObservation,AdminObservation_ID,bigint,,ID for AdminObservation
AdminObservation,TherapyAdmin_ID,bigint,,Reference to TherapyAdmin
AdminObservation,VisitObservation_ID,bigint,,Reference to VisitObservation

AdminProduct,,,,Admin Product
AdminProduct,ActionCode,varchar,5,Action Code
AdminProduct,AdminProduct_ID,bigint,,ID for AdminProduct
AdminProduct,AdminRecordMethod,varchar,10,Admin Record Method
AdminProduct,DispensableProduct_ID,bigint,,Reference to DispensableProduct
AdminProduct,DispenseSize,decimal,"15,5",Dispense Size
AdminProduct,DoseAmount,decimal,"15,5",Dose Amount
AdminProduct,DoseText,varchar,50,Dose Text
AdminProduct,DoseUnits,varchar,30,Dose Units
AdminProduct,ExpirationDate,datetime,,Expiration Date
AdminProduct,LotNumber,varchar,50,Lot Number
AdminProduct,ManufacturerCode,varchar,20,Manufacturer Code
AdminProduct,PackagedProduct_ID,bigint,,Reference to PackagedProduct
AdminProduct,Quantity,decimal,"15,5",Quantity
AdminProduct,RoutedProduct_ID,bigint,,Reference to RoutedProduct
AdminProduct,RowVersionNumber,int,,Row Version Number
AdminProduct,TherapyAdmin_ID,bigint,,Reference to TherapyAdmin
AdminProduct,UtilizationDispensableProduct_ID,bigint,,Reference to UtilizationDispensableProduct
AdminProduct,UtilizationItemDispenseSize_ID,bigint,,Reference to UtilizationItemDispenseSize

AdminVolume,,,,Admin Volume
AdminVolume,AdminVolume_ID,bigint,,ID for AdminVolume
AdminVolume,ObservationDateTime,datetime,,Observation Date Time
AdminVolume,RateAmount,decimal,"7,3",Rate Amount
AdminVolume,RowVersionNumber,int,,Row Version Number
AdminVolume,Staff_ID,bigint,,Reference to Staff
AdminVolume,TherapyAdmin_ID,bigint,,Reference to TherapyAdmin
AdminVolume,VolumeInfused,decimal,"15,5",Volume Infused
AdminVolume,VolumeRemaining,decimal,"15,5",Volume Remaining

AlternativeProduct,,,,Alternative Product
AlternativeProduct,AlternativeProduct_ID,bigint,,ID for AlternativeProduct
AlternativeProduct,AlternativeProductCode,varchar,15,Alternative Product Code
AlternativeProduct,AlternativeProductCodingSystem,varchar,10,Alternative Product Coding System
AlternativeProduct,PBMFormularyAlternative_ID,bigint,,Reference to PBMFormularyAlternative
AlternativeProduct,PreferenceLevel,int,,Preference Level
AlternativeProduct,ProductCode,varchar,15,Product Code
AlternativeProduct,ProductCodingSystem,varchar,10,Product Coding System
AlternativeProduct,RowVersionNumber,int,,Row Version Number

AUBatch,,,,AU Batch
AUBatch,AUBatch_ID,bigint,,ID for AUBatch
AUBatch,Facility_ID,bigint,,Reference to Facility
