"FieldName","Description"
"AddedBy","User who added the entry"
"AddedDate","Date when the entry was added"
"isAHPerformed","Flag for Assisted Hatching (AH) procedure"
"AHNote","Notes or comments for AH procedure"
"AHPerformedDate","Date of AH procedure"
"AHPerformedBy","Person who performed AH"
"AHTechnique","Technique used for AH"
"isArrested","Flag indicating embryo development arrest"
"Aspherical","embryo shape"
"BankingCycleAccessionNumber","Accession number for banking cycle"
"BankingCycleBarcode","Barcode for banking cycle"
"BankingCycleId","Identifier for banking cycle"
"BankingCycleDocumentKey","Document key for banking cycle"
"BankingCycleRequisitionid","Requisition ID for banking cycle"
"BiopsyAccessionNumber","Accession number for biopsy"
"BiopsyBarcode","Barcode for biopsy"
"BiopsyId","Identifier for biopsy"
"BiopsyOrderDocumentKey","Document key for biopsy order"
"BiopsyRequisitionid","Requisition ID for biopsy"
"CheckTech","Technician responsible for checks"
"CheckTime","Time of checks"
"Compaction","Information related to embryonic compaction"
"ConfirmationAt","Location of confirmation"
"CryopreservedDate","Date when embryos were cryopreserved"
"EmrIvfSample","Electronic medical record (EMR) info for IVF samples"
"Cumulus","Information about cumulus cells"
"Cyto","Possibly related to cytology"
"Day","Developmental day of embryos"
"DeletedBy","User who deleted the entry"
"DeletedDate","Date when the entry was deleted"
"Diameter","embryo size/diameter"
"DiscardReason","Reason for discarding embryos"
"EmbryoGrade","Gradeof embryos"
"Fragmentation","Information related to embryo fragmentation"
"FreshDonatedBy","Donor of fresh embryos"
"FreshDonatedDate","Date when fresh embryos were donated"
"grade","Additional grade value"
"GradeDesc","Description of embryo grade"
"GranularCytoplasm","Info related to embryo cytoplasm"
"ICM","Inner Cell Mass info"
"ICSIReason","Reason for intracytoplasmic sperm injection (ICSI)"
"EmrOocyteDayKey","EMR info for oocytes on a specific day"
"PrimaryDocumentKey","Primary document key for the entry"
"DocumentKeyList","List of document keys associated with the entry"
"incubator","Information related to incubators"
"IncubatorDate","Date related to incubator use"
"isIVMPerformed","Flag indicating In Vitro Maturation (IVM) procedure"
"Morphology","Information related to embryonic morphology"
"Multinucleation","Indication of multinucleation in embryos"
"Note","General notes or comments"
"NumberPB","Number of polar bodies"
"OocyteGrade","Grade/quality of oocytes"
"EmrOocyteKey","EMR information related to oocytes"
"Oolemma","Information related to oolemma (egg membrane)"
"pgd","Information related to Preimplantation Genetic Diagnosis (PGD)"
"PGTAConfirmationAt","Location of PGTA confirmation"
"PGTAEmbryosBiopsiedCount","Number of embryos biopsied in PGTA"
"PGTAEmbryosDiagnosedCount","Number of embryos diagnosed in PGTA"
"pgd_facility","PGD facility information"
"PGTAGender","Gender information in PGTA"
"PGTAgene","Specific gene information in PGTA"
"PGTAGeneMutation","Gene mutation information in PGTA"
"PGTAindication","Indication for PGTA"
"PGTAinheritance","Inheritance information in PGTA"
"PGTAKaryoType","Karyotype information in PGTA"
"isPGTAmisdiagnosis","Flag indicating misdiagnosis in PGTA"
"PGTAMitosure","Mitotic information in PGTA"
"PGTAMosaic","Indication of mosaicism in PGTA"
"PGTAMosaicType","Type of mosaicism in PGTA"
"PGTANote","Notes related to PGTA"
"PGTANumberCellsBiopsied","Number of cells biopsied in PGTA"
"isPGTARequisitionSent","Flag indicating PGTA requisition sent"
"pgd_performed","Flag indicating PGD procedure performed"
"PGTAperformedby","Entity/person who performed PGTA"
"PGTATestingMethod","Testing method used in PGTA"
"PGTAresult","Result of PGTA"
"PGTAResultDocumentKey","Document key for PGTA result"
"PGTASuitableForTransfer","Flag indicating suitability for embryo transfer"
"PGTAtechnique","Technique used in PGTA"
"PGTAwitness","Witness of PGTA procedure"
"pgtadone","Flag indicating completion of PGTA"
"PGTCustom1","Custom data field 1 in PGTA"
"PGTCustom10","Custom data field 10 in PGTA"
"PGTCustom2","Custom data field 2 in PGTA"
"PGTCustom3","Custom data field 3 in PGTA"
"PGTCustom4","Custom data field 4 in PGTA"
"PGTCustom5","Custom data field 5 in PGTA"
"PGTCustom6","Custom data field 6 in PGTA"
"PGTCustom7","Custom data field 7 in PGTA"
"PGTCustom8","Custom data field 8 in PGTA"
"PGTCustom9","Custom data field 9 in PGTA"
"PGTCustomResult","Custom result data in PGTA"
"PGTMPerformedAt","Location of PGTM procedure"
"PGTMGene","Specific gene information in PGTM"
"PGTMIndication","Indication for PGTM"
"PGTMInheritance","Inheritance information in PGTM"
"pgtNumberCellsBiopsied","Number of cells biopsied in PGTM"
"isPGTMRequisitionSent","Flag indicating PGTM requisition sent"
"PGTMPartnerVariant","Partner's genetic variant in PGTM"
"PGTMPatientVariant","Patient's genetic variant in PGTM"
"pgtmperformedDate","Date when PGTM procedure was performed"
"PGTMPerformedBy","Entity/person who performed PGTM"
"PGTMResult","Result of PGTM"
"PGTMTechnique","Technique used in PGTM"
"PGTMTestingMethod","Testing method used in PGTM"
"PGTMWitness","Witness of PGTM procedure"
"PGTMdone","Flag indicating completion of PGTM"
"PGTSRPerformedAt","Location of PGTSR procedure"
"PGTSRIndication","Indication for PGTSR"
"PGTSRKaryoType","Karyotype information in PGTSR"
"PGTSRNumberCellsBiopsied","Number of cells biopsied in PGTSR"
"isPGTSRRequisitionSent","Flag indicating PGTSR requisition sent"
"PGTSRPerformedDate","Date when PGTSR procedure was performed"
"PGTSRPerformedBy","Entity/person who performed PGTSR"
"PGTSRResult","Result of PGTSR"
"PGTSRTechnique","Technique used in PGTSR"
"PGTSRTestMethod","Testing method used in PGTSR"
"PGTSRWitness","Witness of PGTSR procedure"
"PGTSRDone","Flag indicating completion of PGTSR"
"PVSpace","Information related to PV space"
"RebiopsyAccessionNumber","Accession number for rebiopsy"
"RebiopsyBarcode","Barcode for rebiopsy"
"RebiopsyId","Identifier for rebiopsy"
"RebiopsyOrderDocumentKey","Document key for rebiopsy order"
"RebiopsyRequisitionid","Requisition ID for rebiopsy"
"stage","Developmental stage information"
"Status","Status information"
"Subday","Subdivision of a day"
"Symmetry","Information related to embryo symmetry"
"ZP","Information related to zona pellucida (egg shell)"
"UniformCells","Indication of uniformity in cell structure"
"Vacuolisation","Information related to vacuolization in embryos"
