"FieldName","Description"
"AddedDate","Date when the entry was added."
"CompletedDate","Date when the surgery procedure was completed."
"Appointmentkey","identifier for the appointment associated with the surgery."
"ProcedureCPTCode","CPT code associated with the procedure."
"EmrPlanKey","identifier for the EMR plan associated with the surgery."
"SurgeryScheduleDate","Date when the surgery is scheduled."
"ProcedureRight","Details about the procedure on the right side."
"addedby","Name of the person who added the entry."
"SurgeryScheduleComplitionDate","Date when the surgery schedule was completed."
"patientKey","identifier for the patient associated with the surgery."
"FinalVerifiedby","Name of the person who finally verified the entry."
"EVDocumentKey","identifier for the EV document associated with the surgery."
"EditedDate","Date when the entry was edited."
"recordid","Identifier for the record."
"ProcedureName","Name of the procedure."
"DoctorName","Name of the doctor associated with the surgery."
"isOfficeProcedure","Indicates if the procedure is performed in an office."
"AssistantName","Name of the assistant involved in the surgery."
"SurgeryDoneVisitKey","identifier for the visit where the surgery was performed."
"EmrSurgeryKey","Unique key for the EMR surgery."
"isEquipmentChecked","Indicates if the equipment was checked before the surgery."
"VisitKey","identifier for the visit associated with the surgery."
"SurgeryScheduleTime","Time when the surgery is scheduled."
"isConsentSigned","Indicates if the consent for the surgery is signed."
"CancelledReason","Reason for the surgery cancellation."
"PriorAuthKey","identifier for the prior authorization associated with the surgery."
"note","Additional notes or details about the surgery."
"type","Type of surgery."
"isCancelled","Indicates if the surgery is cancelled."
"ImplantsLeft","Details about implants on the left side."
"ProcedureLeft","Details about the procedure on the left side."
"FinalVerifiedDate","Date when the final verification was done."
"ImplantsRight","Details about implants on the right side."
"SurgeryPerformedAt","Location where the surgery was performed."
