"FieldName","Description"
"category","Category of the Assesment record."
"recordid","identifier for each record."
"addedby","name of the user who added the record."
"isEmbedded","Indicates whether the record is embedded within another system."
"OriginalEmrProblemKey","Key linking to the original problem record."
"pfexamid","Identifier for a specific exam in the record."
"EmrProblemKey","Key linking to patient's problem data."
"EmrAssessmentKey","Uniquw Key to patient's assessment data."
"EmrCycleID","Identifier for a specific patient cycle."
"changedDate","Date when changes were made to the record."
"ICD9Code","Code representing a medical diagnosis (ICD-9)."
"AddedDate","Date when the record was added."
"ICD10Code","Code representing a medical diagnosis (ICD-10)."
"assessment","Summary of the assessment conducted."
"assessmentdetails","Detailed information about the assessment."
"VisitKey","identifier for patient visits."
"OriginalEmrAssessmentKey","Key linking to the original assessment record."
"SnomedCode","Code representing a medical concept (SNOMED CT)."
"PatientKey","identifier for the patient."
