"FieldName","Description"
"HairType","Type of hair of the donor family member (e.g., curly, straight)."
"BodyBuild","Body build or physique of the donor family member ."
"Height","Height of the donor family member."
"DonorKey","identifier for the donor family member associated with the physical characteristics."
"Relationship","Relationship of the donor to family member (e.g., sibling, parent)."
"Weight","Weight of the donor family member."
"EyeColor","Eye color of the donor family member."
"DeletedDate","Date when the physical characteristics entry was deleted (if applicable)."
"AddedDate","Date when the physical characteristics entry was added."
"HairColor","Hair color of the donor family member."
"DonorFamilyKey","Unique key for the donor family entry."
"Age","Age of the donor family member."
"Freckles","Presence or absence of freckles on the donor family member."
"SkinTone","Skin tone of the donor family member."
