"FieldName","Description"
"Premature","Indicates if the pregnancy was premature."
"PriorGonadotropinCyclesNonART","Number of prior gonadotropin cycles that were non-ART."
"FullTerm","Indicates if the pregnancy reached full term."
"isCycleEdit","Indicates if the cycle is edited."
"PriorTherapeuticAbortions","Number of prior therapeutic abortions."
"Ectopic","Indicates if the pregnancy was ectopic."
"PatientKey","identifier for the patient."
"PriorFrozenARTCyclesTransfers","Number of prior frozen ART cycles and transfers."
"terminated","Indicates if the pregnancy was terminated."
"recordid","identifier for each record."
"AddedDate","Date when the record was added."
"ARTLiveBirths","Number of live births resulting from ART."
"EmrCycle","Key linking to cycle data."
"LiveBirths","Number of live births."
"Biochemical","Indicates if there was a biochemical pregnancy."
"StillBirths","Number of stillbirths."
"TotalPreg","Total number of pregnancies."
"EmrObHistoryKey","Unique Key to obstetric history data."
"MultipleBirths","Indicates if there were multiple births."
"PriorSpontaneousAbortions","Number of prior spontaneous abortions."
"DeletedDate","Date when the record was deleted."
"PriorFreshARTCyclesStarts","Number of prior fresh ART cycles and starts."
"addedby","Name of the user who added the record."
"deletedby","Name of the user who deleted the record."
