"FieldName","Description"
"addedby","Name of the person who added the entry."
"AddedDate","Date when the entry was added."
"PrescriptionResult","Outcome of the prescription."
"PlanDetails","Details about the plan."
"patientKey","identifier for the patient associated with the entry."
"ReferenceRange","lab test Normal Range"
"Measurement","lab test Measurement value"
"ScheduleFrom","Starting point of the schedule."
"ScheduleOrder","Order or sequence of the schedule."
"ScheduleType","Type of schedule."
"PrescribeDrug","Drug prescribed."
"DeletedDate","Date when the entry was deleted (if applicable)."
"deletedby","Name of the person who deleted the entry."
"EMRCyclekey","identifier for the EMR cycle associated with the entry."
"ScheduleFor","For whom the schedule is intended."
"EmrCycleScheduleRowKey","Unique key for the EMR cycle schedule row."
