"FieldName","Description"
"addedby","Name of the person who added the culture media entry."
"CultureMediaNotes","Additional notes related to the culture media."
"deletedby","Name of the person who deleted the culture media entry."
"CultureMediaLot","Lot number of the culture media."
"EMRCyclekey","identifier for the EMR cycle associated with the culture media."
"CultureMediaCategory","Category of the culture media."
"CultureMediaExpirationDate","Expiration date of the culture media."
"CultureMediaKey","Unique key for the culture media entry."
"Patientkey","identifier for the patient associated with the culture media."
"AddedDate","Date when the culture media entry was added."
"DeletedDate","Date when the culture media entry was deleted (if applicable)."
"CultureMedianame","Name of the culture media."
