"Table Description",""
"This table contains payer-level records for insurance payers.  These payer level records include information such as claim address and payer ID that apply to multiple patients",""
"FieldName","Description"
"defaultcollector","Default collector for insurance claims."
"ClaimsMailingCity","City of the mailing address for insurance claims."
"insuranceContactwebsite","Website of the insurance contact."
"ClaimsMailingAddress2","Additional address details for the mailing address for insurance claims."
"insurancelabcodes","Lab codes associated with the insurance."
"insuranceContactemail","Email address of the insurance contact."
"Insuranceinsurancecover","Coverage details provided by the insurance."
"plantype","Type of insurance plan."
"planName","Name of the insurance plan."
"defaultevscript","Default EV (electronic verification) script for insurance claims."
"companyname","Name of the insurance company."
"Insurancefertcoverage","Coverage details related to fertility treatment provided by the insurance."
"contractname","Name of the contract associated with the insurance."
"insurancenotes","Notes related to the insurance."
"claimform","Type of claim form for insurance."
"MedigapID","Identifier for the Medigap insurance plan."
"ClaimsMailingzip","ZIP code of the mailing address for insurance claims."
"isInsuranceoutofnetwork","Indicates if the insurance is out-of-network."
"defaultfeeschedule","Default fee schedule for insurance claims."
"insuranceprecertificationPhone","Phone number for insurance precertification."
"ClaimsMailingstate","State or province of the mailing address for insurance claims."
"iscapitated","Indicates if the insurance operates under a capitated payment model."
"ClaimsMailingAddress1","First line of the mailing address for insurance claims."
"insuranceContactphone","Phone number of the insurance contact."
"submissionmethod","Method of claim submission for insurance."
"CompanyProvidernetwork","Provider network associated with the insurance company."
"participationtype","Type of participation with the insurance."
"SendCLIA","Indicates if CLIA (Clinical Laboratory Improvement Amendments) information is sent to the insurance."
"preferredlab","Preferred laboratory for medical testing or services."
"patientinsurancekey","Unique key for the patient's insurance."
"ispatientoutofnetwork","Indicates if the patient's insurance is out-of-network."
"Changelog","Log of changes made to the insurance information."
"coinsurancePercentage","Percentage of coinsurance covered by the patient."
"empaddr","Address of the employer associated with the insurance."
"groupname","Name of the insurance group."
"empphone","Phone number of the employer associated with the insurance."
"active","Indicates if the insurance is currently active."
"employeeid","Identifier for the employee associated with the insurance."
"groupnum","Group number for the insurance."
"coverbegin","Start date of the insurance coverage."
"patientinsurancecover","Details of the patient's insurance coverage."
"coverend","End date of the insurance coverage."
"patientinsurancenotes","Notes related to the patient's insurance."
"employer","Name of the employer associated with the insurance."
"occupation","Occupation of the patient or policyholder."
"msp","Medicare Secondary Payer information for the insurance."
"insuredpatientkey","Unique key or identifier for the insured patient."
"deductible","Deductible amount to be paid by Patient."
"patientcontribution","Patient's contribution or cost-sharing for the insurance."
"policynumber","Policy number for the insurance."
"relationship","Relationship of the insured patient to the policyholder."
"editon","Date when the insurance information was last edited."
"addedon","Date when the insurance information was added."
"editreason","Reason for editing or updating the insurance information."
"expired","Indicates if the insurance has expired."
"job","Job or employment details of the insured patient."
"patientkey","Unique key or identifier for the patient."
"patientfertcoverage","Fertility coverage details provided by the insurance."
"outofpocket","Annual Out-of-Pocket amount"
"deductiblemet","Deductible amount paid by the patient"
"insuranceLevel","Payer priority (1 primary 2 secondary 3 tertiary)"
"outofpocketmet","Out-of-Pocket amount met"
"addedby","Name or identifier of the person who added the insurance information."
"editby","Name or identifier of the person who last edited the insurance information."
"isLabsOnly","Indicates if the insurance covers only laboratory services."
