"FieldName","Description"
"AddedBy","Name of the person who added the entry."
"RequestDetails","Additional details about the request."
"RequestSate","status of the request."
"FinalPatientContactKey","identifier for the final patient contact."
"RequestOnlineKey","Unique key for the online request."
"RequestOnlineStartedDate","Date when the online request was started."
"DocuemntKey","identifier for the document associated with the request."
"RequestOnlineStartedBy","Name of the person who started the online request."
"OtherDocuemntKey","identifier for other associated documents."
"RequestTemplate","Template used for the request."
"PatientKey","identifier for the patient associated with the request."
"RequestOnlineCompletedDate","Date when the online request was completed."
"isPatinentShow","Indicates if the patient information is shown."
"RequestOnlineAssignedTo","Name of the person to whom the online request was assigned."
"AlternatePhoneNumber","Alternative phone number."
"RequestOnlineDueDate","Date by which the online request is due."
"RequestOnlineCompletedBy","Name of the person who completed the online request."
"RequestType","Type of the request."
