"FieldName","Description"
"ledgeritemKey","Unique key for the ledger item."
"refPaymentKey","Reference payment key associated with the ledger item."
"AmountReported","Amount reported for the ledger item."
"responsibility","Responsibility related to the ledger item."
"visitpaykey","Unique key for the visit payment"
"PatientShare","Amount to be paid by the patient."
"AmountAdjusted","Amount adjusted."
"visitkey","Unique key for the visit"
"patientkey","Unique key for the patient."
"PaymentKey","Unique key for the payment."
"amount","Total amount."
"InsuranceOverpayment","Overpayment made by insurance."
"isPartialInsurancePayment","Indicates if the payment made by insurance is partial."
"purpose","purpose of visit payment"
"is835ERAposted","Indicates if it is posted in a 835 ERA (Electronic Remittance Advice)."
"AddedDate","Date when record was added."
"prepaymentKey","Unique key for the prepayment."
"Forwarded","Indicates if the item has been forwarded or transferred."
