"FieldName","Description"
"finishedby","Name of the user who finished the report."
"EmrEncounterReportKey","Unique Key to patient's encounter report data."
"addedDate","Date when the record was added."
"ReportContent","Content of the report."
"deletedDate","Date when the record was deleted."
"deletedreason","Reason for the deletion of the record."
"VisitKey","identifier for patient visits."
"recordid","identifier for each record."
"cosignedby","Name of the user who cosigned the report."
"ReportName","Name or title of the report."
"finishedDate","Date when the report was finished."
"PatientKey","identifier for the patient."
"deletedby","Name of the user who deleted the record."
"cosignedDate","Date when the report was cosigned."
"addedby","Name of the user who added the record."
