"FieldName","Description"
"RecordedDate","The date when the record was recorded."
"Labobr","Laboratory observation result."
"ProviderNote","Notes provided by the healthcare provider."
"addedDate","Date when the record was added."
"RecordedTime","The time when the record was recorded."
"source","Source of the data."
"recordid","Unique identifier for each record."
"data","Data related to the record."
"deletedby","Name of the user who deleted the record."
"isAdvancedMode","Indicates if the record is in advanced mode."
"SpecimenStatus","Status of the specimen."
"EmrproblemKey","Key linking to patient's problem data."
"method","Method used for the measurement."
"units","Units of measurement."
"LabRefRange","Reference range for the laboratory result."
"LOINCCode","LOINC code associated with the result."
"ExternalResultCode","External result code."
"note","Additional notes or comments related to the record."
"Labs","Lab result details."
"Group","Grouping or category of the lab result."
"HL7ResultStatus","HL7 result status."
"Dilution","Dilution information."
"ViatalsCounter","Vital signs counter."
"value","Measurement value."
"deletedDate","Date when the record was deleted."
"ScreeningDate","Date of screening."
"addedby","Name of the user who added the record."
"patientKey","identifier for the patient."
"isAbnormal","Indicates if the result is abnormal."
"VisitKey","identifier for patient visits."
"Facility","Medical facility where the measurement was taken."
"EmrMeasurementKey","Unique Key to patient's measurement data."
"isNeedsReview","Indicates if the record needs review."
"Highlight","Highlight or emphasis on the record."
"Specimensource","Source of the specimen."
"PatientPortalReleasedDate","Date when the record was released in the patient portal."
"DocumentKey","Key identifying the document."
"PatientPortalReceivedDate","Date when the content was received in the patient portal."
"reviewDate","Date when the record was reviewed."
"bundledate","Date when the measurement was bundled."
"EmrMeasurementBundleKey","Unique Key to measurement bundle data."
"bundletype","Type or category of the measurement bundle."
"bundletime","Time when the measurement was bundled."
"reviewnote","Notes related to the review of the record."
"PatientPortalReleasedBy","Person who released the content in the patient portal."
"Bundle","Measurement bundle details."
"collectiondate","Date of collection."
"emrlaborderkey","Key linking to laboratory order data."
"PatientPortalReleasedType","Type of release in the patient portal."
"reviewby","name of the user who reviewed the record."
"PatientPortalReleasedNote","Note related to the release of content in the patient portal."
