"FieldName","Description"
"addedby","Name of the person who added the mail entry."
"MailStatus","Status of the mail (e.g., sent, received, pending)."
"PatientSecurityName","Security name of the patient."
"MailSubject","Subject of the mail."
"MailBody","Content of the mail."
"OtherAttachmentDocKey","identifier for other attached documents."
"PatientKey","identifier for the patient associated with the mail."
"AttachmentDocKey","identifier for the attached document."
"PatientMailDate","Date when the mail was sent to the patient."
"PatMailKye","Unique key for the patient mail entry."
"ishtml","Indicates whether the mail content is in HTML format."
