"FieldName","Description"
"EmrEncounterProviderKey","Unique key for the EMR encounter provider."
"patientKey","identifier for the patient associated with the encounter provider."
"VisitKey","identifier for the visit associated with the encounter provider."
"role","Role of the provider."
"DoctorPhNumber","Phone number of the doctor"
"recordid","Unique identifier for the record."
"DeletedDate","Date when the entry was deleted (if applicable)."
"detail","Additional details about the encounter provider."
"AddedDate","Date when the entry was added."
"DoctorStatus","Status of the doctor"
"DoctorRelationship","Relationship of the doctor to the patient."
"DoctorAddress","Address of the doctor"
"deletedby","Name of the person who deleted the entry."
"addedby","Name of the person who added the entry."
"CycleKey","identifier for the cycle associated with the encounter."
"ProviderName","Name of the doctor."
