"FieldName","Description"
"note","Additional notes or comments related to the treatment."
"isIUI","Indicates whether the treatment is intrauterine insemination (IUI)."
"recordid","identifier for each record."
"DeletedDate","Date when the record was deleted."
"PatientKey","identifier for the patient."
"deletedby","name of the user who deleted the record."
"TreatmentType","Type or category of the infertility treatment."
"addedby","name of the user who added the record."
"NumberOfCycles","Number of treatment cycles."
"EmrInfertilityTreatmentKey","unique Key to patient's infertility treatment data."
"status","Status of the infertility treatment."
"year","Year associated with the treatment."
"AddedDate","Date when the record was added."
"VisitKey","identifier for patient visits."
