"FieldName","Description"
"DailyWorklistKey","Identifier for the daily worklist entry"
"PatientKey","Identifier for the patient"
"Provider","MD associated with the entry"
"ProviderSignedDate","Date when the provider signed the entry"
"ProviderNotes","Notes or comments by the provider"
"isProviderSignatureRequired","Flag indicating if provider signature is required"
"NurseSigned","Indication of nurse signature"
"NurseSignedDate","Date when the nurse signed the entry"
"NurseNotes","Notes or comments by the nurse"
"isNurseSignatureRequired","Flag indicating if nurse signature is required"
"EmrIvfSemenAnalysisKey","Identifier for IVF semen analysis entry in EMR"
"EmrIvfFollicularUsKey","Identifier for IVF follicular ultrasound entry in EMR"
"EmrIvfObUsKey","Identifier for IVF obstetrical ultrasound entry in EMR"
"EmrMeasurementBundleKey","Identifier for a bundle of measurements in EMR from EmrMeasurement"
"PatientContactedDate","Date when the patient was contacted"
"WorklistDate","Date of the worklist entry"
"ProcedureDocumentKey","Identifier for the procedure document"
"AddedFrom","Source or origin of the entry"
"PickupUserId","User responsible for picking up or managing the entry"
"addedby","User who added the entry"
"AddedDate","Date when the entry was added"
"deletedby","User who deleted the entry"
"DeletedDate","Date when the entry was deleted"
