"FieldName","Description"
"PatientKey","identifier for the patient."
"EmrEncounterReportAddendumKey","Unique Key to patient's encounter report addendum data."
"VisitKey","identifier for patient visits."
"finishedby","Name of the user who finished the addendum."
"addendum","Additional content or notes added to the report."
"addedDate","Date when the record was added."
"EmrEncounterReportKey","Key linking to patient's encounter report data."
"cosignedDate","Date when the addendum was cosigned."
"finishedDate","Date when the addendum was finished."
"deletedreason","Reason for the deletion of the record."
"deletedDate","Date when the record was deleted."
"recordid","identifier for each record."
"deletedby","Name of the user who deleted the record."
"addedby","Name of the user who added the record."
"cosignedby","Name of the user who cosigned the addendum."
