schema,table_name,column_name,datatype,nullable,is_pk,definition
FS,"SXAEHISXAIMGBinaryObject_Blob","ElementID","int",true,false,"Refer to the ElementID column in the SXAIMGElement table from _IMG Database."
FS,"SXAEHISXAIMGBinaryObject_Blob","file_stream","varbinary(max)",true,false,"A FILESTREAM column is a VARBINARY(MAX) column that has the FILESTREAM attribute enabled."
FS,"SXAEHISXAIMGBinaryObject_Blob","file_type","nvarchar(255)",true,false,"The file_type column value is derived from the file name, not the binary contents of the file."
IMG,"SXAIMGElement","SiteID","smallint",false,false,"Identifies the unique distributed database ID where the row was inserted. Distributed databases are no longer supported so this column is deprecated."
IMG,"SXAIMGElement","Build","int",false,false,"Identifies the build number and patch level of the software that inserted/updated this row. The format is the Build number followed by 3 digits for the patch level which is typically 000. The build number is tied to specific versions of the software, e.g. Sunrise 15.3 is Build 5021, Sunrise 16.3 is Build 5503."
IMG,"SXAIMGElement","TouchedBy","varchar(50)",false,false,"Information about the user that last updated the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGElement","TouchedWhen","datetime",false,false,"The date and time that the row was last updated and will be based on the Enterprise time zone."
IMG,"SXAIMGElement","CreatedBy","varchar(50)",false,false,"Information about the user that created the row. This will typically be the UserID (IDCode from CV3User table) and may be prefixed with an environment identifier followed by an underscore, e.g. b96d2bf5_jongmore."
IMG,"SXAIMGElement","CreatedWhen","datetime",false,false,"The date and time that the row was created and will be based on the Enterprise time zone."
IMG,"SXAIMGElement","Active","bit",false,false,"Denotes whether the row is active or not, 0 means the row has been soft deleted or deactivated."
IMG,"SXAIMGElement","ElementID","int",false,true,"Auto generated unique primary key value."
IMG,"SXAIMGElement","DocumentID","int",false,false,"A foreign key to the DocumentID column in the SXAIMGDocument table."
IMG,"SXAIMGElement","SequenceNumber","int",false,false,"For multi-page documents this is the page number.  For annotations, this is the layer."
IMG,"SXAIMGElement","ElementType","int",false,false,"Type of element - image, annotation, movie, sound, zone"
